A	Coef.FGRvsC	Coef.CasevsControl	t.FGRvsC	t.CasevsControl	p.value.FGRvsC	p.value.CasevsControl	p.value.adj.FGRvsC	p.value.adj.CasevsControl	F	F.p.value	Res.FGRvsC	Res.CasevsControl	Genes.probe	Genes.id	Genes.symbol
7.52	-0.283	-0.375	-1.81	-2.4	0.08246	0.02416	0.398431	0.519061	3.12	0.06134	0	0	8021376	8021376	NEDD4L
6.94	-0.01	0.05	-0.14	0.73	0.89013	0.47293	0.957365	0.845274	0.43	0.65221	0	0	8021418	8021418	MALT1
5.82	-0.005	-0.085	-0.06	-1.08	0.95356	0.2894	0.984513	0.771017	0.74	0.4869	0	0	8021438	8021438	NA
5.7	0.098	0.024	1.29	0.32	0.20766	0.75259	0.531102	0.935615	0.91	0.41618	0	0	8021440	8021440	NA
7.48	-0.056	-0.139	-0.53	-1.33	0.59937	0.19565	0.805268	0.724299	0.9	0.4211	0	0	8021442	8021442	ZNF532
7.24	-0.149	-0.191	-1.71	-2.18	0.10038	0.03857	0.419969	0.56516	2.63	0.09146	0	0	8021453	8021453	SEC11C
6.33	0.15	0.117	2.67	2.07	0.01309	0.04842	0.286867	0.580806	3.93	0.03271	0	0	8021461	8021461	GRP
5.65	0.019	0.125	0.32	2.07	0.75528	0.04842	0.892745	0.580806	2.5	0.10233	0	0	8021468	8021468	NA
6.66	-0.426	-0.351	-3.91	-3.22	0.00062	0.00353	0.230189	0.368632	8.69	0.00134	0	0	8021470	8021470	PMAIP1
5.84	0.091	0.035	1.36	0.53	0.18727	0.60172	0.512895	0.888479	0.93	0.40634	0	0	8021478	8021478	NA
7.64	-0.171	-0.045	-2.08	-0.55	0.04741	0.59007	0.357997	0.886029	2.34	0.11725	0	0	8021496	8021496	KIAA1468
6.71	0.098	-0.036	1.73	-0.64	0.09494	0.52581	0.412262	0.865018	3.03	0.06632	0	0	8021528	8021528	TNFRSF11A
7.57	0.009	0.101	0.12	1.35	0.90195	0.18893	0.961911	0.722218	1.11	0.34395	0	0	8021542	8021542	ZCCHC2
6.65	0.043	0.234	0.4	2.18	0.68981	0.03868	0.855464	0.565323	2.69	0.08704	0	0	8021546	8021546	ZCCHC2
6.34	0	0.189	0	1.62	0.99926	0.11743	0.999903	0.666132	1.75	0.19371	0	0	8021563	8021563	NA
7.96	-0.093	-0.076	-1.3	-1.06	0.20479	0.29956	0.5281	0.776721	0.96	0.39706	0	0	8021565	8021565	PHLPP1
4.95	0.17	0.044	1.65	0.43	0.1106	0.66844	0.430593	0.911101	1.47	0.24887	0	0	8021614	8021614	SERPINB11
10.5	-0.143	0.138	-0.64	0.62	0.52988	0.54356	0.761968	0.872361	0.78	0.46705	0	0	8021635	8021635	SERPINB2
5.04	0.116	0.178	0.79	1.21	0.43632	0.23884	0.700322	0.746184	0.75	0.48204	0	0	8021645	8021645	SERPINB10
6.93	-0.079	0.05	-0.76	0.48	0.45272	0.63804	0.710638	0.902412	0.78	0.46866	0	0	8021653	8021653	SERPINB8
6.8	0.001	-0.396	0.01	-1.9	0.99521	0.06941	0.998854	0.620467	2.41	0.11063	0	0	8021685	8021685	CCDC102B
6.17	0.094	-0.107	1.13	-1.28	0.26908	0.21276	0.57908	0.7304	2.9	0.07327	0	0	8021695	8021695	DOK6
8.1	-0.08	0.039	-0.87	0.42	0.3942	0.67466	0.67065	0.913243	0.87	0.43252	0	0	8021707	8021707	SOCS6
6.62	0.081	0.034	1.12	0.47	0.2748	0.64516	0.583319	0.904256	0.63	0.54142	0	0	8021712	8021712	NA
5.93	0.086	0.012	1.25	0.17	0.22252	0.86373	0.542734	0.967362	0.92	0.41213	0	0	8021714	8021714	NA
6.77	-0.117	-0.125	-1.08	-1.15	0.29188	0.26121	0.595595	0.759101	0.83	0.4483	0	0	8021716	8021716	TIMM21
6.71	-0.006	0.107	-0.06	1.03	0.95469	0.31132	0.984534	0.780619	0.75	0.48107	0	0	8021725	8021725	NA
8.86	0.048	0.018	0.42	0.16	0.67501	0.87478	0.847832	0.970142	0.09	0.91255	0	0	8021727	8021727	CNDP2
7.06	-0.168	-0.127	-1.57	-1.18	0.1293	0.24731	0.451565	0.75057	1.34	0.28076	0	0	8021756	8021756	ZNF407
7.19	0.215	0.173	2.2	1.77	0.03683	0.08839	0.34078	0.644638	2.73	0.08452	0	0	8021768	8021768	TSHZ1
6.47	0.166	0.092	2.34	1.3	0.02735	0.20671	0.323434	0.729525	2.75	0.08285	0	0	8021774	8021774	C18orf65
7.26	0.001	-0.07	0.01	-0.76	0.99017	0.4535	0.997148	0.836581	0.39	0.67919	0	0	8021783	8021783	ZNF236
6.07	0.183	0.154	2.12	1.79	0.04374	0.08594	0.35269	0.640558	2.6	0.09369	0	0	8021818	8021818	GALR1
6.89	0.108	0.071	1.54	1.01	0.13639	0.32137	0.460179	0.786737	1.22	0.31134	0	0	8021826	8021826	SALL3
7.12	-0.057	-0.105	-0.74	-1.36	0.4667	0.18488	0.718994	0.718351	0.93	0.40718	0	0	8021832	8021832	ATP9B
6.47	0.257	0.103	3.46	1.4	0.00192	0.17507	0.241066	0.714525	6.07	0.00704	0	0	8021866	8021866	NFATC1
7.54	0	0.059	0	1.11	0.99659	0.27642	0.999543	0.763889	0.82	0.45104	0	0	8021884	8021884	CTDP1
7.29	0.111	-0.027	1.42	-0.34	0.16705	0.73461	0.490788	0.929616	1.75	0.19371	0	0	8021900	8021900	KCNG2
6.59	0.025	-0.031	0.4	-0.49	0.68935	0.63004	0.855375	0.899195	0.4	0.67518	0	0	8021905	8021905	RBFA
6.79	-0.061	-0.053	-0.72	-0.63	0.47857	0.53695	0.727566	0.869055	0.31	0.7391	0	0	8021914	8021914	ADNP2
7.44	0.091	0.071	1.43	1.11	0.16526	0.27791	0.488741	0.763889	1.12	0.34048	0	0	8021919	8021919	NA
7.46	-0.146	-0.074	-1.34	-0.68	0.1935	0.50543	0.517263	0.857361	0.89	0.42223	0	0	8021924	8021924	THOC1
8.89	-0.239	-0.126	-1.43	-0.75	0.16556	0.45868	0.489015	0.838621	1.02	0.37481	0	0	8021946	8021946	COLEC12
7.06	0.155	0.154	2.18	2.17	0.03887	0.0394	0.346135	0.566346	3.16	0.05978	0	0	8021963	8021963	TYMSOS
7.9	-0.272	-0.265	-1.57	-1.53	0.12821	0.13752	0.450001	0.681361	1.61	0.21989	0	0	8021966	8021966	ENOSF1
8.27	-0.261	-0.098	-2.24	-0.84	0.03394	0.4068	0.33623	0.820658	2.57	0.09671	0	0	8021984	8021984	YES1
5.48	-0.177	-0.308	-1.49	-2.6	0.14878	0.01534	0.471505	0.499108	3.4	0.04906	0	0	8021995	8021995	LINC00470
7.11	-0.192	-0.185	-1	-0.96	0.32704	0.34478	0.623052	0.798829	0.64	0.53439	0	0	8022007	8022007	NA
6.96	-0.048	0.009	-0.6	0.11	0.55656	0.91584	0.779598	0.979076	0.29	0.75314	0	0	8022009	8022009	METTL4
8.16	-0.19	-0.087	-2.39	-1.09	0.02474	0.28577	0.315464	0.768792	2.86	0.07606	0	0	8022022	8022022	LPIN2
7.87	0.004	0.003	0.03	0.02	0.97494	0.98073	0.991941	0.994279	0	0.99945	0	0	8022043	8022043	NA
6.21	0.036	0.027	0.35	0.26	0.72972	0.79598	0.87963	0.946229	0.07	0.93627	0	0	8022045	8022045	MYOM1
6.15	-0.008	-0.06	-0.13	-0.92	0.89846	0.36801	0.960434	0.806818	0.49	0.61688	0	0	8022085	8022085	DLGAP1
5.61	0.088	-0.02	1.21	-0.28	0.23606	0.78086	0.554124	0.9435	1.26	0.30022	0	0	8022106	8022106	LINC00526
6.57	-0.11	-0.056	-1.47	-0.75	0.15407	0.45944	0.476653	0.838621	1.08	0.35485	0	0	8022110	8022110	ZBTB14
7.92	-0.246	-0.076	-2.07	-0.64	0.04902	0.52818	0.359773	0.866018	2.24	0.12695	0	0	8022118	8022118	EPB41L3
10.63	-0.182	-0.212	-1.49	-1.73	0.14945	0.09566	0.47265	0.653037	1.76	0.19327	0	0	8022170	8022170	NA
8.92	-0.057	0.028	-0.79	0.39	0.43887	0.69807	0.701637	0.920168	0.72	0.4961	0	0	8022251	8022251	PPP4R1
6.67	0.139	0.177	1.33	1.69	0.19662	0.10391	0.519326	0.659064	1.58	0.22598	0	0	8022277	8022277	NA
5.71	-0.024	0.113	-0.31	1.44	0.7625	0.16315	0.89614	0.705542	1.73	0.19758	0	0	8022310	8022310	PIEZO2
9.34	-0.3	-0.414	-0.94	-1.29	0.3584	0.20747	0.645664	0.729525	0.89	0.4222	0	0	8022320	8022320	NA
6.3	0.115	-0.052	1.48	-0.67	0.15021	0.50708	0.473574	0.857948	2.44	0.10783	0	0	8022326	8022326	MPPE1
7.91	-0.477	-0.502	-3.08	-3.24	0.00489	0.0033	0.270929	0.355636	6.69	0.00466	0	0	8022338	8022338	ADGRA3
7.78	-0.058	-0.078	-0.92	-1.25	0.36621	0.22394	0.650676	0.735829	0.84	0.44514	0	0	8022342	8022342	AFG3L2
6.55	0.127	-0.151	1.26	-1.49	0.21939	0.14763	0.539971	0.691925	3.8	0.0361	0	0	8022356	8022356	SPIRE1
5.74	0.003	-0.009	0.04	-0.13	0.96509	0.89705	0.988071	0.974209	0.02	0.98361	0	0	8022380	8022380	CEP76
7.07	-0.108	-0.032	-1.55	-0.46	0.13339	0.64689	0.455732	0.904256	1.27	0.29889	0	0	8022393	8022393	PTPN2
6.39	-0.044	-0.027	-0.44	-0.27	0.66226	0.7872	0.840496	0.944923	0.1	0.90567	0	0	8022404	8022404	FAM210A
6.06	0.055	-0.028	0.62	-0.32	0.54029	0.75208	0.769675	0.935425	0.46	0.63825	0	0	8022410	8022410	NA
8.14	-0.065	-0.104	-0.64	-1.03	0.52599	0.31318	0.759162	0.782634	0.54	0.58902	0	0	8022418	8022418	NA
6.9	-0.405	-0.16	-3.42	-1.35	0.00213	0.18871	0.255274	0.722049	5.94	0.00771	0	0	8022424	8022424	NF1
5.5	0.152	0.111	1.57	1.15	0.12813	0.25894	0.449997	0.758864	1.33	0.28293	0	0	8022426	8022426	NA
6.26	0.032	-0.168	0.26	-1.34	0.79774	0.19176	0.915244	0.723566	1.48	0.24767	0	0	8022428	8022428	NA
5.44	0.054	0.128	0.51	1.21	0.61435	0.23562	0.815416	0.74509	0.74	0.48517	0	0	8022434	8022434	NA
7.53	-0.098	-0.137	-0.81	-1.14	0.42373	0.2641	0.69042	0.759167	0.69	0.51014	0	0	8022441	8022441	ROCK1
6.98	-0.282	-0.089	-3	-0.95	0.00604	0.3532	0.272473	0.802557	4.7	0.01845	0	0	8022473	8022473	ESCO1
6.51	0.002	-0.044	0.03	-0.53	0.97955	0.60185	0.993445	0.888479	0.2	0.82351	0	0	8022488	8022488	ABHD3
6.11	0.017	-0.063	0.08	-0.29	0.9382	0.77631	0.977622	0.942442	0.07	0.92881	0	0	8022506	8022506	NA
6.25	-0.091	-0.014	-1.59	-0.25	0.12521	0.80774	0.447379	0.948551	1.46	0.25186	0	0	8022514	8022514	TMEM241
8.64	-0.259	-0.162	-2.01	-1.25	0.05559	0.22202	0.368567	0.735829	2.05	0.14899	0	0	8022531	8022531	NPC1
5.67	0.093	-0.011	1.25	-0.14	0.22356	0.88714	0.543175	0.972376	1.17	0.32635	0	0	8022559	8022559	ANKRD29
6.36	0.049	0.01	0.61	0.13	0.54553	0.90052	0.772802	0.975126	0.21	0.81251	0	0	8022572	8022572	OSBPL1A
6.23	-0.385	0.081	-2.2	0.46	0.03697	0.64606	0.340839	0.904256	4.06	0.02958	0	0	8022606	8022606	NA
6.28	0.161	0.149	1.64	1.51	0.1138	0.1422	0.434448	0.684825	1.66	0.20938	0	0	8022608	8022608	NA
5.68	0.058	0.015	0.93	0.25	0.36151	0.80469	0.646577	0.947612	0.46	0.63488	0	0	8022610	8022610	NA
6.73	-0.018	0.04	-0.14	0.31	0.89018	0.7607	0.957365	0.937979	0.1	0.9009	0	0	8022612	8022612	ZNF521
7.1	0.177	0.08	1.91	0.86	0.06755	0.39772	0.381987	0.817677	1.83	0.18104	0	0	8022623	8022623	NA
8.32	-0.172	-0.019	-2.94	-0.32	0.007	0.75305	0.275137	0.935669	5.19	0.01293	0	0	8022625	8022625	SS18
7.31	-0.256	-0.229	-1.68	-1.51	0.1045	0.14461	0.424842	0.688751	1.71	0.2009	0	0	8022640	8022640	DHFR
6.78	-0.21	-0.02	-2.19	-0.21	0.03805	0.83895	0.344624	0.959946	2.92	0.07215	0	0	8022646	8022646	KCTD1
5.83	0.013	-0.001	0.16	-0.01	0.87694	0.99283	0.952086	0.998009	0.02	0.98285	0	0	8022653	8022653	PCAT18
5.56	0.129	-0.016	1.72	-0.21	0.09731	0.83245	0.416663	0.958291	2.25	0.12584	0	0	8022674	8022674	CDH2
8.1	-0.599	-0.399	-2.67	-1.78	0.01302	0.08713	0.286685	0.643135	3.7	0.03894	0	0	8022692	8022692	DSC3
9.19	-0.423	-0.159	-2.79	-1.05	0.00993	0.30478	0.27753	0.777329	3.97	0.03175	0	0	8022711	8022711	DSC2
5.6	-0.053	-0.015	-0.56	-0.16	0.58199	0.87107	0.795285	0.969304	0.16	0.8494	0	0	8022747	8022747	B4GALT6
7.58	-0.218	-0.033	-2.68	-0.41	0.01282	0.68782	0.28618	0.917812	4.17	0.02728	0	0	8022767	8022767	TRAPPC8
6.69	-0.156	-0.163	-1.66	-1.73	0.10835	0.09545	0.428998	0.653037	1.93	0.16664	0	0	8022803	8022803	GAREM1
11.17	-0.212	-0.096	-2.12	-0.96	0.04366	0.34625	0.35269	0.799705	2.26	0.12484	0	0	8022814	8022814	NA
5.61	-0.051	-0.149	-0.72	-2.1	0.47801	0.04549	0.727214	0.573693	2.29	0.12222	0	0	8022817	8022817	KLHL14
5.44	-0.031	0.087	-0.22	0.6	0.831	0.55128	0.931346	0.873415	0.36	0.70054	0	0	8022870	8022870	NA
5.81	-0.057	-0.059	-0.48	-0.5	0.63531	0.62054	0.826786	0.894029	0.16	0.85239	0	0	8022872	8022872	ZSCAN30
7.53	-0.225	-0.103	-2.31	-1.06	0.02958	0.29975	0.327034	0.776793	2.67	0.08907	0	0	8022882	8022882	ZNF24
6.75	-0.379	-0.246	-3.42	-2.22	0.00215	0.03538	0.255274	0.555087	6.01	0.0073	0	0	8022902	8022902	INO80C
6.89	-0.036	-0.018	-0.53	-0.26	0.6003	0.79496	0.805823	0.946229	0.14	0.86935	0	0	8022912	8022912	MIR187
7.86	-0.188	-0.163	-1.99	-1.73	0.05758	0.09644	0.371217	0.653733	2.34	0.11724	0	0	8022914	8022914	RPRD1A
8.08	-0.091	0.359	-0.52	2.05	0.60765	0.05131	0.811653	0.589048	3.68	0.03958	0	0	8022927	8022927	SLC39A6
7.12	-0.127	-0.09	-1.26	-0.89	0.21934	0.38204	0.539971	0.812023	0.84	0.44413	0	0	8022941	8022941	TPGS2
6.69	0.092	0.073	1.41	1.12	0.17103	0.27269	0.49576	0.762784	1.11	0.34559	0	0	8022952	8022952	CELF4
9.13	-0.088	-0.086	-0.73	-0.72	0.47461	0.47996	0.725003	0.847635	0.35	0.71013	0	0	8022972	8022972	RPL7A
5.79	0.023	0.067	0.34	0.98	0.73499	0.33848	0.882584	0.796633	0.49	0.61827	0	0	8022986	8022986	SYT4
8.09	-0.15	-0.071	-1.63	-0.77	0.11551	0.44975	0.437298	0.835521	1.33	0.28238	0	0	8022996	8022996	EPG5
7.58	-0.108	-0.021	-0.87	-0.17	0.39501	0.87002	0.670815	0.969143	0.42	0.66025	0	0	8023043	8023043	PSTPIP2
7.06	0.215	0.089	1.64	0.68	0.11241	0.5022	0.432194	0.855902	1.37	0.27333	0	0	8023059	8023059	NA
6.17	-0.102	0.184	-1.01	1.81	0.32333	0.08165	0.62184	0.634801	4.09	0.02899	0	0	8023061	8023061	NA
9.52	-0.153	-0.081	-1.47	-0.78	0.15257	0.44546	0.475275	0.832678	1.09	0.35192	0	0	8023063	8023063	ATP5A1
5.79	0.011	0.034	0.17	0.56	0.86424	0.58137	0.945963	0.881577	0.16	0.84999	0	0	8023080	8023080	LOXHD1
7.13	0.04	-0.133	0.32	-1.08	0.7512	0.29224	0.89104	0.771611	1.07	0.35813	0	0	8023133	8023133	PIAS2
6.32	0.113	0.094	1.84	1.54	0.07686	0.13714	0.394588	0.681361	1.95	0.16287	0	0	8023152	8023152	NA
6.36	0.112	0.095	1.77	1.5	0.08963	0.14605	0.407104	0.690593	1.81	0.18394	0	0	8023154	8023154	NA
6.42	0.107	0.077	1.79	1.29	0.08577	0.20894	0.402157	0.729525	1.7	0.20243	0	0	8023156	8023156	NA
7.81	-0.013	-0.154	-0.16	-1.81	0.87612	0.08193	0.951537	0.634801	2.01	0.15425	0	0	8023165	8023165	HDHD2
7.76	-0.078	-0.07	-0.82	-0.74	0.41823	0.46486	0.686137	0.840641	0.41	0.667	0	0	8023175	8023175	IER3IP1
6.94	0.173	0.092	2.58	1.37	0.01592	0.18337	0.290013	0.717062	3.34	0.05152	0	0	8023184	8023184	SKOR2
7.49	-0.248	-0.092	-1.95	-0.72	0.06211	0.47856	0.377364	0.847202	1.95	0.16323	0	0	8023191	8023191	SMAD2
8.24	-0.206	0.026	-2.17	0.27	0.03927	0.78821	0.346135	0.945015	3.59	0.04232	0	0	8023195	8023195	SMAD2
6.65	0.002	-0.019	0.02	-0.25	0.98311	0.80774	0.994038	0.948551	0.04	0.95691	0	0	8023212	8023212	ZBTB7C
5.78	0.057	0.084	0.55	0.81	0.58469	0.42311	0.797224	0.829555	0.35	0.71094	0	0	8023218	8023218	NA
7.78	-0.045	-0.019	-0.71	-0.31	0.48216	0.76138	0.730842	0.938187	0.26	0.77605	0	0	8023220	8023220	SMAD7
7.95	-0.135	-0.094	-1.74	-1.21	0.09444	0.2379	0.411444	0.745859	1.59	0.22429	0	0	8023228	8023228	DYM
7.44	-0.148	-0.066	-1.77	-0.79	0.08917	0.4392	0.406345	0.832339	1.57	0.22789	0	0	8023246	8023246	NA
6.05	-0.048	-0.073	-0.51	-0.76	0.61724	0.45527	0.816455	0.836739	0.3	0.74469	0	0	8023252	8023252	NA
5.72	-0.115	0.117	-0.75	0.76	0.45954	0.45512	0.714267	0.836739	1.14	0.33586	0	0	8023259	8023259	SNORD58A
6.84	-0.1	-0.043	-1.07	-0.46	0.29401	0.65048	0.597419	0.904872	0.58	0.56816	0	0	8023261	8023261	ACAA2
7.51	-0.214	-0.131	-2.82	-1.73	0.00921	0.09558	0.27753	0.653037	4.05	0.02992	0	0	8023267	8023267	MYO5B
6.18	0.114	0.097	1.25	1.07	0.22274	0.29568	0.542734	0.772859	0.91	0.41453	0	0	8023308	8023308	NA
5.63	-0.089	0.029	-0.66	0.21	0.51428	0.83397	0.752276	0.95843	0.42	0.66475	0	0	8023312	8023312	NA
8.23	-0.04	0.011	-0.63	0.17	0.53712	0.86249	0.76677	0.967095	0.35	0.70502	0	0	8023323	8023323	MBD1
6.95	0.143	0.244	1.41	2.41	0.17052	0.02334	0.495432	0.515658	2.94	0.07106	0	0	8023344	8023344	CXXC1
7.76	-0.028	0.009	-0.39	0.13	0.69806	0.89917	0.861038	0.974754	0.15	0.86398	0	0	8023377	8023377	MEX3C
9.21	-0.109	0.119	-1.28	1.4	0.2109	0.17365	0.534098	0.713981	3.6	0.04199	0	0	8023382	8023382	MBD2
7.21	-0.053	0.428	-0.37	3.04	0.7115	0.00548	0.870344	0.396323	7	0.00381	0	0	8023392	8023392	SNORA37
7.48	-0.093	-0.248	-0.58	-1.54	0.56905	0.13646	0.786629	0.679421	1.21	0.31563	0	0	8023401	8023401	CCDC68
8.62	0.153	-0.104	1.38	-0.93	0.1799	0.35904	0.504309	0.80289	2.71	0.08591	0	0	8023415	8023415	TCF4
5.7	0.026	0.076	0.35	1.02	0.72808	0.3164	0.879086	0.785088	0.54	0.58969	0	0	8023448	8023448	NA
7.87	-0.197	-0.161	-2.78	-2.29	0.01011	0.03097	0.27753	0.546388	4.4	0.02294	0	0	8023450	8023450	TXNL1
7.17	-0.007	-0.027	-0.08	-0.34	0.93541	0.73965	0.976718	0.931362	0.06	0.94059	0	0	8023466	8023466	FECH
9.46	-0.108	-0.117	-1.01	-1.09	0.32264	0.28599	0.621783	0.768792	0.74	0.48834	0	0	8023481	8023481	NARS
7.31	-0.23	-0.103	-1.74	-0.78	0.09402	0.44244	0.410986	0.832523	1.52	0.23821	0	0	8023497	8023497	ATP8B1
7.45	-0.152	-0.101	-1.23	-0.81	0.23038	0.42288	0.548256	0.829555	0.78	0.46826	0	0	8023526	8023526	NA
6.87	0.216	0.107	3.4	1.68	0.00227	0.10456	0.257607	0.659064	5.76	0.00867	0	0	8023549	8023549	RAX
9.51	-0.27	-0.064	-1.82	-0.43	0.08082	0.66842	0.397422	0.911101	1.81	0.18505	0	0	8023561	8023561	LMAN1
5.44	0.054	0.037	0.6	0.42	0.55114	0.67954	0.776186	0.91552	0.19	0.82696	0	0	8023593	8023593	MC4R
7.08	0.148	-0.029	1.07	-0.21	0.29634	0.83621	0.599495	0.959085	0.94	0.40549	0	0	8023598	8023598	RNF152
7.12	-0.187	-0.172	-1.33	-1.22	0.19681	0.23469	0.519421	0.744268	1.08	0.35354	0	0	8023605	8023605	PIGN
8.53	-0.124	-0.054	-1.27	-0.55	0.21519	0.58443	0.538131	0.882454	0.81	0.45497	0	0	8023646	8023646	BCL2
8.41	-0.138	0.05	-1.3	0.48	0.20446	0.638	0.5281	0.902412	1.7	0.20365	0	0	8023656	8023656	KDSR
8.57	-0.165	-0.008	-1.73	-0.09	0.09503	0.93166	0.412371	0.982283	1.91	0.16881	0	0	8023672	8023672	VPS4B
5.89	0.121	0.086	1.34	0.95	0.19191	0.35084	0.516339	0.802042	0.95	0.39968	0	0	8023708	8023708	NA
6.59	-0.203	-0.162	-0.87	-0.69	0.39305	0.49367	0.669079	0.85065	0.42	0.65986	0	0	8023727	8023727	DSEL
6.84	-0.06	-0.1	-0.74	-1.25	0.46333	0.22373	0.717365	0.735829	0.79	0.46578	0	0	8023735	8023735	TMX3
6.61	-0.085	-0.117	-0.95	-1.32	0.35033	0.20007	0.639026	0.727771	0.92	0.41026	0	0	8023766	8023766	RTTN
8.43	-0.335	-0.315	-1.98	-1.86	0.05875	0.07465	0.372147	0.624333	2.46	0.10533	0	0	8023855	8023855	CYB5A
6.78	0.005	-0.018	0.07	-0.23	0.94806	0.82211	0.981142	0.954042	0.05	0.95393	0	0	8023862	8023862	NA
7.02	-0.12	-0.095	-1.23	-0.97	0.23083	0.34041	0.548641	0.797801	0.84	0.44378	0	0	8023868	8023868	LINC00909
7.97	-0.059	-0.004	-0.72	-0.05	0.47581	0.9621	0.725724	0.990431	0.33	0.72361	0	0	8023871	8023871	ZADH2
6.19	0.155	0.043	1.92	0.53	0.0659	0.60197	0.381786	0.888479	1.97	0.15991	0	0	8023882	8023882	ZNF516
5.98	0.046	0.103	0.36	0.8	0.72516	0.43315	0.877634	0.831117	0.32	0.73015	0	0	8023910	8023910	LOC284241
7.18	0.078	0.052	1.47	0.98	0.15445	0.33707	0.477154	0.795493	1.12	0.34277	0	0	8023914	8023914	PQLC1
6.98	-0.093	-0.182	-0.97	-1.92	0.34031	0.06679	0.632661	0.617612	1.84	0.18025	0	0	8023920	8023920	TXNL4A
5.91	0.035	0.064	0.51	0.95	0.61326	0.35112	0.814431	0.802042	0.45	0.64131	0	0	8023926	8023926	PARD6G
6.11	-0.017	-0.026	-0.1	-0.15	0.91803	0.87806	0.969006	0.970591	0.01	0.98761	0	0	8023933	8023933	NA
5.79	0.01	0.052	0.14	0.69	0.89162	0.49922	0.957644	0.85407	0.26	0.77077	0	0	8023939	8023939	NA
7.59	0.156	0.041	2.05	0.54	0.0509	0.59097	0.362278	0.886113	2.25	0.1256	0	0	8023941	8023941	MADCAM1
7.56	-0.051	0.03	-0.81	0.47	0.42657	0.64077	0.692725	0.902919	0.84	0.44403	0	0	8023948	8023948	TPGS1
10.55	-0.03	0.073	-0.2	0.48	0.84597	0.63557	0.938981	0.901379	0.24	0.78697	0	0	8023955	8023955	BSG
7.63	0.068	0.059	0.69	0.59	0.49889	0.55976	0.742023	0.875786	0.28	0.7608	0	0	8023968	8023968	CDC34
6.74	0.116	0.05	1.56	0.67	0.13143	0.50841	0.453581	0.858179	1.22	0.31114	0	0	8023977	8023977	GZMM
7.31	0.171	0.122	2.54	1.81	0.01777	0.08172	0.299772	0.634801	3.41	0.04873	0	0	8023984	8023984	HCN2
6.83	0.068	0.038	1.2	0.66	0.24314	0.51591	0.558771	0.860482	0.72	0.49804	0	0	8023990	8023990	FGF22
9.11	0.736	1.736	1.71	4.03	0.0993	0.00045	0.418105	0.234471	8.2	0.0018	0	0	8023995	8023995	FSTL3
8.42	0.102	0.08	1.04	0.81	0.30901	0.42282	0.608976	0.829555	0.6	0.55793	0	0	8024001	8024001	NA
7.38	0.058	0.003	0.93	0.05	0.3594	0.9626	0.646182	0.990431	0.55	0.58204	0	0	8024003	8024003	PALM
6.35	0.085	0.213	0.73	1.81	0.47394	0.08174	0.724836	0.634801	1.66	0.20932	0	0	8024013	8024013	MISP
9.61	-0.055	0.04	-0.64	0.47	0.52617	0.64024	0.759283	0.902919	0.63	0.54214	0	0	8024019	8024019	PTBP1
6.54	-0.01	0.031	-0.14	0.44	0.8873	0.66434	0.956031	0.909215	0.18	0.83297	0	0	8024038	8024038	AZU1
7.13	0.07	0.097	0.92	1.28	0.3642	0.2109	0.648917	0.729525	0.88	0.42831	0	0	8024048	8024048	PRTN3
7.24	0.124	0.096	2.07	1.59	0.04906	0.12419	0.359773	0.669328	2.34	0.11646	0	0	8024056	8024056	ELANE
8.27	0.136	-0.121	0.98	-0.87	0.33503	0.39014	0.629111	0.815301	1.73	0.19824	0	0	8024062	8024062	CFD
6.9	0.043	-0.04	0.64	-0.6	0.5248	0.55666	0.75865	0.874489	0.77	0.47358	0	0	8024070	8024070	KISS1R
8.12	0.073	0.267	0.89	3.29	0.38027	0.00297	0.660313	0.332558	5.78	0.00859	0	0	8024078	8024078	ARID3A
7.4	0.028	-0.013	0.32	-0.15	0.7551	0.87995	0.892604	0.971234	0.11	0.89282	0	0	8024089	8024089	WDR18
7.12	0.019	0.01	0.26	0.13	0.79389	0.89597	0.913138	0.974026	0.03	0.96579	0	0	8024100	8024100	GRIN3B
7.67	0.43	0.194	3.37	1.52	0.00243	0.14054	0.257607	0.683594	5.69	0.00912	0	0	8024111	8024111	CNN2
6.59	0.151	0.145	1.99	1.91	0.05695	0.06725	0.371185	0.619429	2.55	0.0982	0	0	8024120	8024120	ABCA7
7.47	0.346	0.574	2.33	3.85	0.02838	0.00072	0.32523	0.26055	7.52	0.00274	0	0	8024170	8024170	ARHGAP45
9.96	0.002	0.083	0.01	0.62	0.9895	0.53823	0.997045	0.869602	0.25	0.77753	0	0	8024194	8024194	GPX4
7.54	0.161	0.094	2.24	1.3	0.0341	0.20569	0.33623	0.729519	2.53	0.09958	0	0	8024204	8024204	STK11
8.6	0.07	0.071	0.75	0.75	0.45948	0.45772	0.714267	0.838488	0.38	0.68925	0	0	8024219	8024219	ATP5D
8.01	0.057	0.119	0.65	1.37	0.51942	0.18141	0.75543	0.717062	0.95	0.40194	0	0	8024228	8024228	MIDN
9.91	-0.159	-0.048	-1.73	-0.52	0.09544	0.60419	0.412733	0.888967	1.58	0.22612	0	0	8024238	8024238	CIRBP
8.18	0.115	0.097	1.76	1.48	0.09085	0.15066	0.408309	0.695143	1.79	0.18784	0	0	8024246	8024246	C19orf24
7.62	0.153	0.048	2.33	0.72	0.02839	0.47526	0.32523	0.845455	2.83	0.07776	0	0	8024250	8024250	EFNA2
