A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	p.value.adj.BasalvsLP	p.value.adj.BasalvsML	p.value.adj.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML	Genes.ENTREZID	Genes.SYMBOL
-2.02	-2.477	-6.264	-3.787	-1.54	-6.11	-3.82	0.08458	0.00016	0.00268	0.30664	0.001217	0.075661	0	-1	0	20760	Sprr2f
3.78	-3.162	-5.816	-2.654	-5.76	-13.23	-6.27	0.00022	0	0.00012	0.001687	2.1e-05	0.017425	-1	-1	-1	20753	Sprr1a
-1.65	4.707	1.471	-3.236	4.73	0.77	-2.85	8e-04	0.23344	0.01119	0.005025	0.726728	0.199086	1	0	0	16447	Ivl
-2.99	-3.999	-7.167	-3.168	-5.41	-12.34	-5.05	0.00033	0	0.00051	0.0024	2.9e-05	0.029781	-1	-1	-1	78382	Lce6a
3.41	0.38	-0.275	-0.655	0	0	0	0.87145	0.92014	0.74219	1	1	1	0	0	0	99681	Tchh
6.89	-0.777	-1.75	-0.974	0	-5.17	0	0.92049	0.00043	0.5749	1	0.002781	1	0	-1	0	20195	S100a11
8.07	1.322	0.623	-0.699	1.88	0	0	0.04837	0.96948	0.9555	0.186803	1	1	0	0	0	20194	S100a10
1.87	-1.438	-0.5	0.938	-2.07	0	0	0.03594	0.9746	0.61768	0.144413	1	1	0	0	0	75778	Them4
1.34	5.896	7.051	1.154	7.61	8.81	0.2	3e-05	1e-05	0.43379	0.000376	0.000159	1	1	1	0	66198	Them5
4.85	-2.358	-1.234	1.124	-5.78	-0.98	0.58	0.00021	0.17729	0.28968	0.00164	0.571154	1	-1	0	0	19885	Rorc
0.49	-1.622	-0.643	0.979	-2.39	0	0	0.02191	0.88924	0.53324	0.092598	1	1	0	0	0	72634	Tdrkh
5.19	-0.81	-0.444	0.366	0	0	0	0.89742	0.99809	0.9994	1	1	1	0	0	0	78523	Mrpl9
5.78	-0.254	-0.02	0.234	0	0	0	0.99994	1	0.99997	1	1	1	0	0	0	76742	Snx27
2.07	-0.526	-0.362	0.165	0	0	0	0.99263	0.99857	0.99979	1	1	1	0	0	0	668409	Rpl31-ps11
5.31	-2.543	-2.243	0.3	-7.86	-6.33	0	3e-05	0.00012	0.99807	0.000299	0.000915	1	-1	-1	0	22156	Tuft1
1.33	-5.656	-5.934	-0.278	-14.42	-15.33	0	0	0	0.99871	1.6e-05	1.2e-05	1	-1	-1	0	545551	BC021767
1.23	-3.613	-3.27	0.343	-9.58	-8.32	0	1e-05	2e-05	0.99451	0.000107	0.000203	1	-1	-1	0	20342	Selenbp2
5.32	-5.446	-5.549	-0.103	-26.3	-26.87	0	0	0	0.99996	3e-06	2e-06	1	-1	-1	0	70737	Cgn
6.28	-0.582	0.121	0.703	0	0	0	0.99292	0.99993	0.97765	1	1	1	0	0	0	229584	Pogz
7.13	0.385	-0.018	-0.403	0	0	0	0.99956	1	0.99968	1	1	1	0	0	0	19172	Psmb4
3.48	-3.518	-3.174	0.345	-16.11	-13.9	0	0	0	0.99967	1e-05	1.7e-05	1	-1	-1	0	20341	Selenbp1
4.19	-0.391	-0.679	-0.288	0	0	0	0.98734	0.91162	0.99563	1	1	1	0	0	0	53970	Rfx5
5.66	-0.157	-0.32	-0.163	0	0	0	0.99997	0.99987	0.99998	1	1	1	0	0	0	107650	Pi4kb
1.08	-1.257	-1.009	0.248	-0.64	-0.02	0	0.26941	0.49129	0.96854	0.830846	1	1	0	0	0	319916	A730011C13Rik
5.18	-0.958	-0.944	0.014	0	0	0	0.64372	0.68712	1	1	1	1	0	0	0	78266	Zfp687
6.78	-0.093	-0.504	-0.411	0	0	0	0.99999	0.99931	0.99986	1	1	1	0	0	0	19185	Psmd4
6.08	-0.445	-0.623	-0.178	0	0	0	0.99925	0.99385	0.99997	1	1	1	0	0	0	18720	Pip5k1a
5	0.325	-0.104	-0.429	0	0	0	0.99851	0.99982	0.99718	1	1	1	0	0	0	21427	Vps72
1.05	-0.782	-0.779	0.003	0	0	0	0.79229	0.80023	0.99995	1	1	1	0	0	0	50874	Tmod4
2.85	0.278	-0.328	-0.606	0	0	0	0.99904	0.99895	0.98386	1	1	1	0	0	0	69269	Scnm1
3.4	0.078	-0.204	-0.282	0	0	0	0.99988	0.99964	0.99932	1	1	1	0	0	0	668436	Gm9169
2.32	1.184	1.234	0.05	0.67	0.87	0	0.26096	0.20402	0.99799	0.808342	0.644919	1	0	0	0	20360	Sema6c
6.39	-0.292	0.054	0.346	0	0	0	0.99983	0.99999	0.99982	1	1	1	0	0	0	213054	Gabpb2
1.81	0.797	0.676	-0.121	0	0	0	0.84615	0.94664	0.9994	1	1	1	0	0	0	56772	Mllt11
6.96	-0.827	-0.478	0.349	0	0	0	0.84485	0.99433	0.99883	1	1	1	0	0	0	57912	Cdc42se1
3.77	-2.703	-2.768	-0.066	-11.39	-11.93	0	0	0	0.99998	4.6e-05	3.1e-05	1	-1	-1	0	171388	Bnipl
4.17	-0.239	-0.981	-0.742	0	0	0	0.99789	0.53993	0.90458	1	1	1	0	0	0	229589	Prune1
5.45	-0.8	-1.483	-0.683	0	-3.28	0	0.89147	0.00564	0.97457	1	0.026254	1	0	-1	0	75007	Fam63a
2.17	-4.147	-3.189	0.959	-8.98	-6.15	0	1e-05	0.00014	0.56243	0.000153	0.001085	1	-1	-1	0	71790	Anxa9
7.07	-1.106	-1.262	-0.156	-1.03	-2.52	0	0.16734	0.01807	0.99999	0.55563	0.074549	1	0	0	0	76893	Cers2
5.7	-0.119	0.378	0.497	0	0	0	0.99993	0.99914	0.99792	1	1	1	0	0	0	84505	Setdb1
6.26	-0.119	0.467	0.585	0	0	0	0.99982	0.99579	0.99002	1	1	1	0	0	0	11863	Arnt
1.76	-0.49	1.231	1.722	0	0.35	1.12	0.80383	0.3738	0.14931	1	1	1	0	0	0	13038	Ctsk
4.26	-0.906	-1.536	-0.63	0	-2.44	0	0.65548	0.02046	0.94535	1	0.083542	1	0	0	0	229593	Golph3l
6.58	0.134	0.023	-0.11	0	0	0	0.99997	1	0.99999	1	1	1	0	0	0	56205	Ensa
9.62	-1.168	-0.106	1.062	-0.91	0	0.36	0.19486	0.99955	0.36253	0.633206	1	1	0	0	0	17210	Mcl1
4.61	-0.751	-0.376	0.375	0	0	0	0.87642	0.99298	0.99461	1	1	1	0	0	0	229595	Adamtsl4
6.54	-0.317	-1.426	-1.109	0	-1.55	-0.42	0.98165	0.08049	0.34192	1	0.284967	1	0	0	0	13601	Ecm1
4.89	-0.096	-0.384	-0.288	0	0	0	0.99998	0.99963	0.99989	1	1	1	0	0	0	71807	Tars2
5.65	-0.386	-0.376	0.011	0	0	0	0.99833	0.99852	0.99999	1	1	1	0	0	0	75137	Rprd2
5.02	0.083	0.362	0.279	0	0	0	0.99995	0.99926	0.99973	1	1	1	0	0	0	70767	Prpf3
4.21	0.002	-0.493	-0.494	0	0	0	0.99999	0.98975	0.99057	1	1	1	0	0	0	66292	Mrps21
0.66	0.142	1.112	0.97	0	0.26	0	0.97811	0.39946	0.52891	1	1	1	0	0	0	229599	Ciart
3.78	-0.684	-0.87	-0.186	0	0	0	0.95462	0.77876	0.99967	1	1	1	0	0	0	226548	Aph1a
6.81	1.064	0.892	-0.173	0.45	0	0	0.33236	0.76536	0.99989	0.989666	1	1	0	0	0	66471	Anp32e
1.86	1.728	1.883	0.155	2.72	3.37	0	0.01314	0.00495	0.9932	0.058392	0.0234	1	0	1	0	67220	Plekho1
3.57	-0.461	-0.815	-0.354	0	0	0	0.99235	0.84643	0.9979	1	1	1	0	0	0	22365	Vps45
6.23	-0.216	0.075	0.291	0	0	0	0.99871	0.99969	0.99839	1	1	1	0	0	0	229603	Otud7b
2.56	2.264	1.482	-0.782	4.32	1.84	0	0.00129	0.05182	0.75893	0.007637	0.19142	1	1	0	0	194126	Mtmr11
0	0.619	0.472	-0.147	0	0	0	0.83319	0.91315	0.98221	1	1	1	0	0	0	100504127	Gm17690
4.44	0.381	0.41	0.03	0	0	0	0.99894	0.9987	0.99998	1	1	1	0	0	0	107701	Sf3b4
-0.86	3.551	2.517	-1.034	6.67	4.6	-0.09	8e-05	0.00089	0.46704	0.00075	0.005145	1	1	1	0	64051	Sv2a
2.38	0.637	-0.557	-1.194	0	0	-0.98	0.94	0.97722	0.17687	1	1	1	0	0	0	69168	Bola1
1.27	-0.479	-1.796	-1.317	0	-3.63	-1.49	0.96945	0.00338	0.08759	1	0.016675	0.849174	0	-1	0	319190	Hist2h2be
-1.22	-0.957	-4.022	-3.065	0	-4.29	-3.13	0.54168	0.00139	0.00717	1	0.00764	0.143805	0	-1	0	97114	Hist2h3c2
-1.25	-1.448	-3.286	-1.839	-1.08	-6.04	-2.49	0.15507	0.00016	0.01885	0.518658	0.001203	0.284926	0	-1	0	15267	Hist2h2aa1
1.39	-0.363	-2.895	-2.532	0	-3.78	-3.09	0.87238	0.00275	0.00757	1	0.013932	0.149357	0	-1	0	15077	Hist2h3c1
-0.53	-0.96	0.315	1.274	0	0	0.64	0.53665	0.9233	0.27134	1	1	1	0	0	0	100038359	Gm10685
8.3	-2.94	-1.692	1.248	-4.62	-1.68	0.62	0.00087	0.06637	0.27553	0.005428	0.239361	1	-1	0	0	56338	Txnip
3.51	-0.858	-0.889	-0.031	0	0	0	0.77854	0.73117	0.99994	1	1	1	0	0	0	69870	Polr3gl
4.02	2.651	4.015	1.363	9.01	15.02	1.81	1e-05	0	0.05431	0.000148	1.2e-05	0.611978	1	1	0	280411	Lix1l
3.07	0.089	-0.024	-0.113	0	0	0	0.99984	0.99997	0.99983	1	1	1	0	0	0	229613	6330549D23Rik
5.25	0.434	0.4	-0.033	0	0	0	0.99923	0.99949	0.99999	1	1	1	0	0	0	60365	Rbm8a
3.86	0.213	-0.186	-0.399	0	0	0	0.99913	0.99946	0.99674	1	1	1	0	0	0	18632	Pex11b
1.97	0.306	0.194	-0.112	0	0	0	0.97471	0.98886	0.99402	1	1	1	0	0	0	213119	Itga10
1.89	1.3	-0.247	-1.547	0.95	0	-1.81	0.18458	0.98884	0.05367	0.604102	1	0.606787	0	0	0	213121	Ankrd35
4.07	0.951	0.109	-0.842	0	0	0	0.59182	0.99941	0.7793	1	1	1	0	0	0	229615	Pias3
1.87	0.468	-0.971	-1.439	0	0	-1.87	0.96589	0.55034	0.04956	1	1	0.574913	0	0	0	78373	Nudt17
5.03	-0.529	-0.714	-0.186	0	0	0	0.99506	0.96344	0.99988	1	1	1	0	0	0	74414	Polr3c
5.43	-0.185	0.015	0.2	0	0	0	0.99987	0.99999	0.99989	1	1	1	0	0	0	67845	Rnf115
-0.69	-1.451	0.119	1.571	-1.35	0	1.75	0.10662	0.98769	0.05954	0.37466	1	0.653298	0	0	0	54215	Cd160
2.99	-0.624	-0.415	0.209	0	0	0	0.9733	0.99626	0.9995	1	1	1	0	0	0	59020	Pdzk1
4.93	-0.791	-0.578	0.213	0	0	0	0.93571	0.99547	0.99993	1	1	1	0	0	0	67549	Gpr89
5.12	0.438	0.439	0	0	0	0	0.99922	0.99926	1	1	1	1	0	0	0	66659	Acp6
4.69	0.138	0.379	0.242	0	0	0	0.99892	0.99271	0.99788	1	1	1	0	0	0	77578	Bcl9
4.2	0.745	0.808	0.063	0	0	0	0.9097	0.85266	0.99983	1	1	1	0	0	0	68058	Chd1l
1.79	0.48	0.446	-0.035	0	0	0	0.97181	0.97993	0.99948	1	1	1	0	0	0	14263	Fmo5
5.11	-0.227	0.813	1.04	0	0	0.19	0.99633	0.78606	0.42789	1	1	1	0	0	0	108097	Prkab2
5.26	-0.167	1.214	1.381	0	1.04	1.96	0.99865	0.16386	0.04322	1	0.532718	0.520645	0	0	0	83679	Pde4dip
5.6	0.066	0.181	0.115	0	0	0	0.99999	0.99997	0.99999	1	1	1	0	0	0	20333	Sec22b
6.91	-1.368	-0.478	0.891	-2.7	0	0	0.01369	0.9975	0.7926	0.060533	1	1	0	0	0	18129	Notch2
3.61	-3.147	-5.796	-2.649	-3.72	-8.64	-3.88	0.00301	1e-05	0.00239	0.015836	0.000172	0.071557	-1	-1	0	15360	Hmgcs2
4.15	1.959	0.11	-1.849	2.45	0	-2.26	0.0201	0.98999	0.02681	0.085692	1	0.37018	0	0	0	236539	Phgdh
2.02	-1.025	-1.137	-0.111	-0.07	-0.4	0	0.47198	0.3488	0.99228	1	1	1	0	0	0	242109	Zfp697
4.01	-1.102	-0.846	0.256	-0.65	0	0	0.26618	0.8237	0.99955	0.822345	1	1	0	0	0	70560	Wars2
-0.4	-0.4	0.998	1.398	0	0	0.66	0.85125	0.50783	0.26672	1	1	1	0	0	0	21384	Tbx15
5.36	0.105	0.409	0.304	0	0	0	0.9999	0.99824	0.9995	1	1	1	0	0	0	269470	Wdr3
4.24	-0.523	-0.118	0.404	0	0	0	0.99756	0.99996	0.99947	1	1	1	0	0	0	14547	Gdap2
3.43	0.667	1.172	0.505	0	0.29	0	0.71636	0.39468	0.79994	1	1	1	0	0	0	74645	Fam46c
7.45	0.498	0.295	-0.203	0	0	0	0.99709	0.99959	0.9999	1	1	1	0	0	0	17156	Man1a2
5.63	-2.141	-3.046	-0.906	-5.61	-10.09	0	0.00026	0	0.69156	0.001919	7e-05	1	-1	-1	0	242122	Vtcn1
2.43	1.188	0.708	-0.48	0.58	0	0	0.2897	0.81744	0.92736	0.884211	1	1	0	0	0	229644	Trim45
3.82	1.051	0.507	-0.543	0.26	0	0	0.40201	0.98473	0.97697	1	1	1	0	0	0	74044	Ttf2
7.23	1.695	0.358	-1.337	3.58	0	-1.89	0.00363	0.99443	0.04798	0.018679	1	0.564042	1	0	0	19221	Ptgfrn
6.42	0.057	0.896	0.839	0	0	0	0.99922	0.67074	0.7663	1	1	1	0	0	0	78908	Igsf3
10.7	0.797	0.623	-0.173	0	0	0	0.89781	0.98265	0.99988	1	1	1	0	0	0	11928	Atp1a1
0.99	0.111	1.095	0.984	0	0.37	0	0.99776	0.36015	0.52505	1	1	1	0	0	0	242125	Mab21l3
3.4	-0.308	0.075	0.383	0	0	0	0.99851	0.99984	0.99755	1	1	1	0	0	0	242126	Slc22a15
-0.22	6.692	6.908	0.216	9	9.94	0	1e-05	1e-05	0.91217	0.000159	8.2e-05	1	1	1	0	12373	Casq2
4.37	1.118	1.591	0.473	0.61	3.02	0	0.27967	0.00832	0.98669	0.857481	0.037231	1	0	1	0	229658	Vangl1
3.25	1.279	0.19	-1.09	0.41	0	-0.13	0.35298	0.932	0.45526	1	1	1	0	0	0	18049	Ngf
4.76	2.32	3.708	1.387	5.85	11.19	1.64	0.00019	0	0.07015	0.001522	4.2e-05	0.73283	1	1	0	70747	Tspan2
2.71	-0.511	0.571	1.082	0	0	0.21	0.88393	0.8465	0.41808	1	1	1	0	0	0	20957	Sycp1
0.87	3.265	3.218	-0.047	5.21	5.39	0	0.00042	0.00033	0.98961	0.002878	0.00223	1	1	1	0	381463	Nr1h5
4.5	0.554	0.359	-0.195	0	0	0	0.99671	0.99966	0.99993	1	1	1	0	0	0	66641	Sike1
8.61	-0.149	-0.098	0.052	0	0	0	0.99979	0.99987	0.99997	1	1	1	0	0	0	229663	Csde1
6.96	-0.542	-0.436	0.106	0	0	0	0.98491	0.99403	0.99978	1	1	1	0	0	0	18176	Nras
-0.6	1.959	2.084	0.124	2.01	2.32	0	0.03972	0.0247	0.96849	0.1573	0.099054	1	0	0	0	229665	Ampd1
5.16	1.772	0.525	-1.247	2.42	0	-0.81	0.02109	0.92406	0.21954	0.089568	1	1	0	0	0	329727	Dennd2c
5.67	-0.105	0.334	0.438	0	0	0	0.99995	0.99956	0.99912	1	1	1	0	0	0	68183	Bcas2
6.39	-0.417	0.023	0.44	0	0	0	0.99579	0.99995	0.99639	1	1	1	0	0	0	94093	Trim33
2.77	2.223	1.707	-0.517	4.25	2.68	0	0.00142	0.01404	0.93157	0.008264	0.059416	1	1	0	0	99543	Olfml3
8.27	-0.781	-0.482	0.299	0	0	0	0.89432	0.99378	0.99922	1	1	1	0	0	0	15257	Hipk1
2.91	0.573	0.729	0.156	0	0	0	0.98646	0.93956	0.99968	1	1	1	0	0	0	140917	Dclre1b
3.69	-0.086	-0.309	-0.223	0	0	0	0.99971	0.99815	0.99919	1	1	1	0	0	0	67489	Ap4b1
1.3	-3.135	-1.468	1.667	-7.03	-1.46	2.51	6e-05	0.0917	0.01817	0.00056	0.320571	0.278745	-1	0	0	229672	Bcl2l15
5.08	-0.076	0.39	0.465	0	0	0	0.9993	0.98996	0.98532	1	1	1	0	0	0	229675	Rsbn1
4.24	1.286	1.089	-0.198	2.24	0.72	0	0.02783	0.24724	0.9999	0.114812	0.762651	1	0	0	0	18685	Phtf1
6.3	-2.233	-1.345	0.888	-5.81	-1.63	0	0.00021	0.071	0.70783	0.001599	0.25448	1	-1	0	0	99470	Magi3
5.17	-0.048	0.148	0.196	0	0	0	0.99985	0.99946	0.99937	1	1	1	0	0	0	269473	Lrig2
6.3	1.354	2.081	0.727	2.15	6.53	0	0.03196	9e-05	0.94313	0.130115	0.000764	1	0	1	0	20501	Slc16a1
7.71	-0.588	-0.861	-0.273	0	0	0	0.99408	0.84602	0.99986	1	1	1	0	0	0	624251	Gm6485
1.76	-0.87	-1.833	-0.963	0	-2.98	0	0.66227	0.00892	0.55468	1	0.039713	1	0	-1	0	71887	Ppm1j
6.95	0.427	-0.961	-1.387	0	0	-2.7	0.99714	0.59734	0.01363	1	1	0.226928	0	0	0	11853	Rhoc
3.11	-0.409	-1.2	-0.791	0	-0.97	0	0.98705	0.17932	0.8384	1	0.576633	1	0	0	0	17454	Mov10
3.69	-0.35	-0.263	0.087	0	0	0	0.99735	0.99882	0.99981	1	1	1	0	0	0	12340	Capza1
4.58	-0.409	-0.353	0.055	0	0	0	0.99936	0.99966	0.99999	1	1	1	0	0	0	229681	St7l
0.66	-0.784	-0.219	0.564	0	0	0	0.74624	0.98348	0.90787	1	1	1	0	0	0	22414	Wnt2b
7.14	-1.093	-0.017	1.076	-0.5	0	0.44	0.3138	0.99993	0.33442	0.944338	1	1	0	0	0	80281	Cttnbp2nl
4.33	-0.011	0.272	0.283	0	0	0	0.99994	0.99743	0.99754	1	1	1	0	0	0	53975	Ddx20
1.6	1.198	1.239	0.041	0.72	0.9	0	0.24754	0.19764	0.99835	0.773706	0.627151	1	0	0	0	109050	Fam212b
4.9	-0.054	0.248	0.301	0	0	0	0.99994	0.99952	0.9994	1	1	1	0	0	0	109905	Rap1a
6.8	0.154	-0.192	-0.346	0	0	0	0.99994	0.99992	0.99978	1	1	1	0	0	0	11950	Atp5f1
5.82	0.278	0.663	0.385	0	0	0	0.99968	0.98202	0.99937	1	1	1	0	0	0	70465	Wdr77
1.57	0.368	0.445	0.077	0	0	0	0.9538	0.93696	0.99404	1	1	1	0	0	0	12659	Ovgp1
4.33	-1.984	-1.694	0.291	-6.72	-4.74	0	8e-05	0.00075	0.9997	0.000713	0.004426	1	-1	-1	0	72121	Dennd2d
5.37	-0.544	-0.463	0.081	0	0	0	0.99805	0.99926	0.99999	1	1	1	0	0	0	99712	Cept1
4.44	-1.515	-1.441	0.074	-4.31	-3.71	0	0.00131	0.00299	0.99999	0.007754	0.014937	1	-1	-1	0	67171	Dram2
3.89	-1.075	-0.929	0.146	-0.25	0	0	0.4061	0.59014	0.99382	1	1	1	0	0	0	321000	Lrif1
-0.58	-2.366	-1.988	0.378	-2.17	-1.57	0	0.03114	0.07867	0.87551	0.1271	0.279344	1	0	0	0	229694	AI504432
3.99	0.07	-0.372	-0.442	0	0	0	0.99972	0.99636	0.99384	1	1	1	0	0	0	68576	Lamtor5
1.38	-0.956	-2.241	-1.285	0	-4.12	-1.02	0.55218	0.00169	0.16963	1	0.009096	1	0	-1	0	229699	Slc16a4
5.1	0.119	0.732	0.614	0	0	0	0.99996	0.96734	0.99384	1	1	1	0	0	0	229700	Rbm15
0.9	1.727	3.109	1.382	1.07	2.87	0.5	0.16041	0.01066	0.32226	0.534883	0.046595	1	0	1	0	229706	Slc6a17
6	-0.245	-0.043	0.203	0	0	0	0.99331	0.99919	0.9964	1	1	1	0	0	0	229707	Strip1
7.92	0.419	0.278	-0.141	0	0	0	0.99618	0.99884	0.99981	1	1	1	0	0	0	229709	Ahcyl1
7.5	1.597	2.258	0.661	1.49	3.15	0	0.08698	0.00683	0.81584	0.314157	0.031187	1	0	1	0	12977	Csf1
1.53	-0.283	-0.069	0.214	0	0	0	0.99761	0.99972	0.99883	1	1	1	0	0	0	280047	Gm5075
3.09	0.853	1.225	0.372	0	1.15	0	0.76357	0.14168	0.99323	1	0.469454	1	0	0	0	329735	4933431E20Rik
4.78	1.329	1.749	0.42	2.6	5.88	0	0.01596	0.00019	0.99913	0.069678	0.001381	1	0	1	0	14866	Gstm5
0.62	2.308	2.904	0.596	4.09	5.81	0	0.00177	0.00021	0.85795	0.010009	0.001486	1	1	1	0	68312	Gstm7
2.24	1.756	0.25	-1.507	2.21	0	-1.53	0.02897	0.98508	0.08276	0.118854	1	0.817474	0	0	0	14863	Gstm2
4.09	0.221	0.517	0.296	0	0	0	0.99845	0.98345	0.99744	1	1	1	0	0	0	14862	Gstm1
3.16	0.094	-0.305	-0.399	0	0	0	0.99993	0.9996	0.99901	1	1	1	0	0	0	14865	Gstm4
5.02	0.707	0.899	0.192	0	0	0	0.96081	0.74801	0.9998	1	1	1	0	0	0	109674	Ampd2
7.93	-0.617	-0.136	0.481	0	0	0	0.94877	0.99872	0.98663	1	1	1	0	0	0	14679	Gnai3
4.01	-1.256	-1.971	-0.715	-1.15	-4.53	0	0.141	0.00098	0.9074	0.477456	0.005617	1	0	-1	0	229715	Amigo1
3.44	-1.416	-1.977	-0.561	-2.57	-6.26	0	0.01653	0.00012	0.99261	0.071921	0.000974	1	0	-1	0	72023	Cyb561d1
3.4	0.139	0.013	-0.126	0	0	0	0.9999	0.99999	0.99993	1	1	1	0	0	0	72522	Atxn7l2
4.14	0.395	0.028	-0.367	0	0	0	0.99907	0.99999	0.99945	1	1	1	0	0	0	26442	Psma5
6.71	-3.786	-4.908	-1.122	-22.65	-31.23	-1.09	0	0	0.15341	4e-06	2e-06	1	-1	-1	0	20661	Sort1
3.67	0.603	0.14	-0.463	0	0	0	0.99252	0.99995	0.99875	1	1	1	0	0	0	56742	Psrc1
8.14	-1.527	-0.714	0.814	-3.27	0	0	0.00576	0.94373	0.87469	0.027993	1	1	-1	0	0	53883	Celsr2
7.11	-0.763	-0.634	0.129	0	0	0	0.96364	0.99348	0.99998	1	1	1	0	0	0	20226	Sars
3.29	-6.559	-5.147	1.412	-21.37	-15.86	2.72	0	0	0.01314	4e-06	1e-05	0.222034	-1	-1	0	229722	5330417C22Rik
6.32	-0.852	-0.803	0.049	0	0	0	0.87191	0.92903	0.99999	1	1	1	0	0	0	67495	Tmem167b
4.7	0.589	0.359	-0.23	0	0	0	0.99481	0.99965	0.99991	1	1	1	0	0	0	99730	Taf13
4.88	-0.414	-0.141	0.273	0	0	0	0.99933	0.99995	0.99988	1	1	1	0	0	0	99512	Wdr47
4.93	0.686	0.353	-0.334	0	0	0	0.9824	0.99966	0.99975	1	1	1	0	0	0	229725	Clcc1
3.79	3.585	3.968	0.382	6.98	7.98	0	6e-05	2e-05	0.92754	0.000581	0.000258	1	1	1	0	76123	Gpsm2
4.89	-0.812	-0.541	0.271	0	0	0	0.88032	0.99268	0.99961	1	1	1	0	0	0	20912	Stxbp3
-0.54	-3.02	-1.293	1.726	-4.58	-0.62	1.88	0.00092	0.27652	0.04858	0.005695	0.841215	0.567687	-1	0	0	320181	Fndc7
7.11	-0.555	-0.093	0.462	0	0	0	0.94165	0.9977	0.97459	1	1	1	0	0	0	66921	Prpf38b
5.18	0.554	-1.056	-1.61	0	-0.19	-2.11	0.90686	0.42676	0.03425	1	1	0.441197	0	0	0	329739	Fam102b
5.49	0.228	-0.895	-1.123	0	0	-0.72	0.99865	0.71616	0.24508	1	1	1	0	0	0	229731	Slc25a24
5.03	3.246	1.241	-2.005	9.75	1.18	-4.58	1e-05	0.13674	0.00091	9.8e-05	0.455965	0.040775	1	0	-1	57257	Vav3
4.52	0.66	1.663	1.003	0	2.15	0.01	0.8584	0.03208	0.4963	1	0.124338	1	0	0	0	80883	Ntng1
4.29	0.33	0.601	0.271	0	0	0	0.98733	0.92937	0.99209	1	1	1	0	0	0	99890	Prmt6
0.95	-1.884	-0.949	0.935	-2.55	0	0	0.01719	0.55525	0.58108	0.074407	1	1	0	0	0	11722	Amy1
4.73	-0.682	-0.123	0.559	0	0	0	0.92617	0.99909	0.9763	1	1	1	0	0	0	67225	Rnpc3
6.64	1.104	2.973	1.869	0.33	6.09	2.93	0.37663	0.00015	0.00954	1	0.001144	0.176669	0	1	0	12814	Col11a1
1.99	2.091	1.361	-0.73	1.68	0.59	0	0.0663	0.28716	0.66925	0.246544	0.867241	1	0	0	0	13609	S1pr1
1.61	-0.104	-0.032	0.072	0	0	0	0.99822	0.99953	0.99897	1	1	1	0	0	0	68161	A930005H10Rik
3.5	-0.052	0.014	0.066	0	0	0	0.99981	0.99995	0.9998	1	1	1	0	0	0	69740	Dph5
6.5	0.349	-0.196	-0.546	0	0	0	0.99741	0.99928	0.98927	1	1	1	0	0	0	66500	Slc30a7
2.87	1.708	1.032	-0.676	3.61	0.18	0	0.0035	0.43212	0.9313	0.018051	1	1	1	0	0	58193	Extl2
3.78	3.211	3.584	0.373	6.22	7.24	0	0.00013	5e-05	0.93746	0.001102	0.00044	1	1	1	0	22329	Vcam1
5.75	-0.994	-1.594	-0.6	0	-2.88	0	0.51176	0.01024	0.96474	1	0.044967	1	0	-1	0	229776	Cdc14a
4.21	0.815	0.353	-0.461	0	0	0	0.91487	0.99971	0.99903	1	1	1	0	0	0	66368	Rtca
4.71	0.539	-0.366	-0.905	0	0	0	0.99017	0.99847	0.72878	1	1	1	0	0	0	13171	Dbt
0.36	0.029	0.769	0.74	0	0	0	0.99729	0.73292	0.75932	1	1	1	0	0	0	109245	Lrrc39
2.05	0.032	0.421	0.389	0	0	0	0.99708	0.93499	0.94524	1	1	1	0	0	0	229780	Trmt13
1.6	1.043	0.875	-0.168	0.18	0	0	0.4312	0.69794	0.99609	1	1	1	0	0	0	72776	Sass6
6.55	0.334	0.493	0.159	0	0	0	0.9977	0.99094	0.99967	1	1	1	0	0	0	15247	Mfsd14a
5.89	-1.329	-1.276	0.053	-1.9	-1.59	0	0.04706	0.07514	0.9999	0.182583	0.267894	1	0	0	0	229782	Slc35a3
4.86	0.813	1.017	0.204	0	0.14	0	0.91382	0.44697	0.99991	1	1	1	0	0	0	77559	Agl
4.71	-0.488	-0.351	0.137	0	0	0	0.99849	0.99966	0.99997	1	1	1	0	0	0	20321	Frrs1
3.8	3.775	4.376	0.601	7.54	8.93	0	3e-05	1e-05	0.82993	0.000378	0.000141	1	1	1	0	114301	Palmd
1.26	-2.451	-0.155	2.297	-4.62	0	4.21	0.00087	0.98445	0.00149	0.005442	1	0.05307	-1	0	0	229791	Plppr4
3.59	0.034	-0.137	-0.172	0	0	0	0.99998	0.99991	0.99988	1	1	1	0	0	0	76561	Snx7
1.44	-1.035	-0.342	0.693	-0.14	0	0	0.44658	0.98187	0.87574	1	1	1	0	0	0	99586	Dpyd
5.89	0.728	1.273	0.545	0	1.73	0	0.9391	0.06129	0.99219	1	0.222951	1	0	0	0	56195	Ptbp2
2.53	-1.075	-2.228	-1.153	-0.41	-7.12	-0.98	0.34713	5e-05	0.17739	1	0.000478	1	0	-1	0	66568	Rwdd3
